,Region,Asset Type, Site Name , Owner , Fuel Type ,Number of Units,Upper Nameplate Capacity (MW),Nameplate_Capacity,Storage Capacity (MWh),Unit Status,Fuel_Bucket_Summary,variable,specificYear
153,QLD,Project,Nebo BESS,Nebo BESS Pty Ltd,Other - Other,1,900,900,3600.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2028.0
154,NSW,Existing Plant,Nevertire Solar Farm,Nevertire Solar Pty Ltd as Trustee for the Nevertire Solar Trust,Solar - Solar,48,2.18,104.64,, In Service , Solar ,Full Commercial Use Date,2020.0
155,NSW,Existing Plant,New England Solar Farm,ACEN AUSTRALIA,Solar - Solar,1,200,200,, In Service , Solar ,Full Commercial Use Date,2023.0
156,NSW,Existing Plant,New England Solar Farm,ACEN AUSTRALIA,Solar - Solar,1,200,200,, In Service , Solar ,Full Commercial Use Date,2023.0
157,VIC,Existing Plant,Numurkah Solar Farm,Numurkah Solar Farm Pty Ltd,Solar - Solar,37,1.81,66.79,, In Service , Solar ,Full Commercial Use Date,2019.0
158,VIC,Existing Plant,Numurkah Solar Farm,Numurkah Solar Farm Pty Ltd,Solar - Solar,19,1.81,34.3,, In Service , Solar ,Full Commercial Use Date,2019.0
159,QLD,Existing Plant,Oakey 2 Solar Farm,RE Oakey Pty Ltd,Solar - Solar,26,2.14,55.64,, In Service , Solar ,Full Commercial Use Date,2022.0
160,QLD,Existing Plant,Oakey Solar Farm,Oakey1 Asset Co Pty Ltd,Solar - Solar,1,25,25,, In Service , Solar ,Full Commercial Use Date,2019.0
161,VIC,Existing Plant,Philip Island BESS,Mondo Power,Other - Other,1,5,5,10.0, In Service , Battery Storage ,Full Commercial Use Date,2023.0
162,SA,Existing Plant,Port Augusta Renewable Energy Park - Solar,PAREP 1 Pty Ltd,Solar - Solar,36,2.2,79.2,, In Service , Solar ,Full Commercial Use Date,2023.0
163,NSW,Existing Plant,Queanbeyan BESS,Berrybank 2 Asset Pty Ltd as Trustee for Berrybank 2 Asset Trust,Other - Other,1,10,10,20.0, In Service , Battery Storage ,Full Commercial Use Date,2022.0
164,NSW,Project,Quorn Park Hybrid,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust,Solar - Solar,22,4.4, 87.12 - 96.80 ,, Committed , Solar ,Full Commercial Use Date,2025.0
165,NSW,Project,Quorn Park Hybrid,Quorn Park Solar Farm Pty Ltd as the trustee for Quorn Park Solar Farm Trust,Other - Other,8,3.45, 23.44 - 27.60 ,40.0, Committed , Battery Storage ,Full Commercial Use Date,2025.0
166,VIC,Project,Red Cliffs Solar & BESS - KCI,Red Cliffs Power Pty td,Solar - Solar,1,60,60,, Publicly Announced , Solar ,Full Commercial Use Date,2026.0
167,NSW,Existing Plant,Riverina Energy Storage System 1,Shell New Energies Australia Pty Ltd,Other - Other,1,60,60,120.0, In Service , Battery Storage ,Full Commercial Use Date,2023.0
168,NSW,Existing Plant,Riverina Energy Storage System 2,RESS 2 Pty Ltd,Other - Other,1,65,65,130.0, In Service , Battery Storage ,Full Commercial Use Date,2023.0
169,NSW,Project,Riverina Solar Farm,Riverina Solar Pty Ltd,Solar - Solar,360,0.09,32.4,, Committed , Solar ,Full Commercial Use Date,2025.0
170,SA,Existing Plant,RMGE94,The Trustee for Dale Calderbank Investment Trust & The Trustee for Mark Yates Family Trust,Solar - Solar,1,0.05,0.05,, In Service , Solar ,Full Commercial Use Date,2022.0
171,QLD,Existing Plant,Rugby Run Solar Farm,Adani Rugby Run Pty Ltd,Solar - Solar,1,65,65,, In Service , Solar ,Full Commercial Use Date,2020.0
172,NSW,Existing Plant,Rye Park Wind Farm,Tilt Renewables Australia Pty Ltd,Wind - Wind,66,6,396,, In Commissioning , Wind ,Full Commercial Use Date,2024.0
173,NSW,Project,Sapphire Wind Farm,SWF1 Operations Holdings Pty Ltd as trustee for SWF1 Hold Trust,Other - Other,1,30,30,38.0, Anticipated , Battery Storage ,Full Commercial Use Date,2025.0
174,NSW,Project,Sebastopol Solar Farm,Sebastopol Asset Co Pty Ltd ATF Sebastopol Asset Trust,Solar - Solar,40,2.25,90,, Committed , Solar ,Full Commercial Use Date,2023.0
175,NSW,Project,Silver City Energy Storage,A-CAES NSW PTY LTD,Other - Other,2,100,200,1600.0, Anticipated , Battery Storage ,Full Commercial Use Date,2027.0
176,NSW,Existing Plant,Silverton Wind Farm,PARF Company 8 Pty Ltd as trustee for the Silverton Project Trust,Wind - Wind,58,3.43,198.94,, In Service , Wind ,Full Commercial Use Date,2020.0
177,SA,Existing Plant,Snapper Point Power Station,Port Adelaide Energy Pty Ltd,Fossil - Diesel,5,30.8,154,, In Service , OCGT ,Full Commercial Use Date,2022.0
178,NSW,Project,Snowy 2.0.,Snowy Hydro Ltd,Hydro - Water,4,367,"1,468.00",233320.0, Committedï¿½  , Water ,Full Commercial Use Date,2028.0
179,NSW,Project,Snowy 2.0.,Snowy Hydro Ltd,Hydro - Water,2,366,732,116660.0, Committedï¿½  , Water ,Full Commercial Use Date,2028.0
180,VIC,Project,Stanhope BESS Project 01,Globird Energy Pty Ltd,Solar - Solar,1,20,20,20.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2026.0
181,VIC,Project,Stanhope BESS Project 02,globirdenergy_NR,Solar - Solar,1,5,5,, Publicly Announced , Solar ,Full Commercial Use Date,2026.0
182,QLD,Project,Stanwell BESS,Stanwell Corporation Limited,Other - Other,1,300,300,1200.0, Anticipated , Battery Storage ,Full Commercial Use Date,2027.0
183,VIC,Existing Plant,Stockyard Hill Wind Farm,Stockyard Hill Wind Farm Pty Ltd,Wind - Wind,128,3.57,456.96,, In Service , Wind ,Full Commercial Use Date,2022.0
184,VIC,Existing Plant,Stockyard Hill Wind Farm,Stockyard Hill Wind Farm Pty Ltd,Wind - Wind,19,3.4,64.6,, In Service , Wind ,Full Commercial Use Date,2022.0
185,VIC,Existing Plant,Stockyard Hill Wind Farm,Stockyard Hill Wind Farm Pty Ltd,Wind - Wind,2,3,6,, In Service , Wind ,Full Commercial Use Date,2022.0
186,NSW,Project,Stubbo Solar Farm,ACEN AUSTRALIA,Solar - Solar,2,200,400,, Committed , Solar ,Full Commercial Use Date,2024.0
187,NSW,Existing Plant,Sunraysia Solar Farm,Sunraysia Solar Project Pty Ltd,Solar - Solar,104,2.2,228.8,, In Service , Solar ,Full Commercial Use Date,2021.0
188,NSW,Existing Plant,Suntop Solar Farm,Suntop SF Pty Ltd As Trustee For The Suntop Asset,Solar - Solar,1,150,150,, In Service , Solar ,Full Commercial Use Date,2021.0
189,QLD,Existing Plant,Susan River Solar Farm,Susan River Solar Pty Ltd as trustee for the Susan River Solar Trust,Solar - Solar,49,1.74,85.26,, In Service , Solar ,Full Commercial Use Date,2019.0
190,QLD,Project,Swanbank BESS,CleanCo QLD Limited,Other - Other,1,250,250,500.0, Anticipated , Battery Storage ,Full Commercial Use Date,2026.0
191,SA,Existing Plant,Tailem Bend - Solar,Vena Energy,Solar - Solar,1,108,108,, In Service , Solar ,Full Commercial Use Date,2019.0
192,SA,Existing Plant,Tailem Bend Battery Project,Vena Energy,Other - Other,1,41.5,41.5,84.0, In Service , Battery Storage ,Full Commercial Use Date,2024.0
193,SA,Existing Plant,Tailem Bend Stage 2 Solar Project,Vena Energy,Solar - Solar,1,105,105,, In Commissioning , Solar ,Full Commercial Use Date,2023.0
194,NSW,Existing Plant,Tallawarra B,EnergyAustralia Tallawarra Pty Ltd ,Fossil - Natural Gas Pipeline,1,320,320,, In Service , OCGT ,Full Commercial Use Date,2024.0
195,NSW,Project,Tamworth Solar Farm,Tamworth Solar Farm Pty Ltd,Solar - Solar,1,65,65,, Anticipated , Solar ,Full Commercial Use Date,2026.0
196,QLD,Project,Tarong BESS - Stanwell,Stanwell Corporation Limited,Other - Other,1,300,300,600.0, Committed* , Battery Storage ,Full Commercial Use Date,2024.0
197,SA,Project,Templers BESS,ZEN Energy Future Pty Ltd,Other - Other,1,111,111,291.0, Committed , Battery Storage ,Full Commercial Use Date,2025.0
198,NSW,Project,Tenterfield Solar Farm,Enerparc Australia Pty Ltd,Solar - Solar,7,4.2,29.4,, Publicly Announced , Solar ,Full Commercial Use Date,2026.0
199,NSW,Project,Tilbuster Solar Farm,Enerparc Australia Pty Ltd,Solar - Solar,152,1.64,248.82,, Committed , Solar ,Full Commercial Use Date,2026.0
200,VIC,Existing Plant,Timboon West Wind Farm,Timboon West Wind Farm Pty Ltd,Wind - Wind,2,3.6,7.2,, In Service , Wind ,Full Commercial Use Date,2018.0
201,SA,Existing Plant,Torrens Island BESS,TIPSCO,Other - Other,109,2.3,250.7,250.0, In Service , Battery Storage ,Full Commercial Use Date,2023.0
202,QLD,Project,Ulinda Park BESS,Ulinda Park ProjectCo Pty Ltd in its capacity as trustee for the Ulinda Park Project Trust,Other - Other,52,2.98,154.96,298.0, Anticipated , Battery Storage ,Full Commercial Use Date,2025.0
203,VIC,Existing Plant,Victorian Big Battery,Victorian Big Battery Pty Ltd,Other - Other,1,300,300,450.0, In Service , Battery Storage ,Full Commercial Use Date,2021.0
204,NSW,Existing Plant,Wagga North Solar Farm,Wagga Wagga Operationsco Pty Ltd as trustree for Wagga Wagga Operations Trust,Solar - Solar,12,1.64,19.64,, In Service , Solar ,Full Commercial Use Date,2023.0
205,NSW,Project,Walla Walla Solar Farm,FRV Australia (Walla Walla Asset Co Pty Ltd (ACN 634 728 868) as trustee for the Walla Walla Asset Trust),Solar - Solar,48,3.17,151.97,, Committed , Solar ,Full Commercial Use Date,2024.0
206,NSW,Project,Walla Walla Solar Farm,FRV Australia (Walla Walla Asset Co Pty Ltd (ACN 634 728 868) as trustee for the Walla Walla Asset Trust),Solar - Solar,48,3.17,151.97,, Committed , Solar ,Full Commercial Use Date,2024.0
207,NSW,Existing Plant,Wallgrove Grid Battery project,TransGrid,Other - Other,1,50,50,75.0, In Service , Battery Storage ,Full Commercial Use Date,2021.0
208,QLD,Existing Plant,Wandoan South BESS,Vena Evergy,Other - Other,1,100,100,150.0, In Service , Battery Storage ,Full Commercial Use Date,2022.0
209,QLD,Existing Plant,Wandoan South Solar Stage 1,Vena Evergy,Solar - Solar,1,160,160,, In Service , Solar ,Full Commercial Use Date,2023.0
210,NSW,Project,Waratah Super Battery,Munmorah Battery Projectco Pty Ltd,Other - Other,288,2.95,850.18,1680.0, Committed , Battery Storage ,Full Commercial Use Date,2025.0
211,QLD,Existing Plant,Warwick Solar Farm,The University of Queensland,Solar - Solar,8,4.01,32.1,, In Service , Solar ,Full Commercial Use Date,2023.0
212,QLD,Existing Plant,Warwick Solar Farm,The University of Queensland,Solar - Solar,8,4.01,32.1,, In Service , Solar ,Full Commercial Use Date,2023.0
213,NSW,Existing Plant,Wellington Solar Farm,Lightsource Australia SPV 4 Pty Ltd,Solar - Solar,132,1.64,216.08,, In Service , Solar ,Full Commercial Use Date,2022.0
214,VIC,Existing Plant,Wemen Solar Farm,Wemen Asset Co Pty Ltd as Trustee to Wemen Solar Unit Trust,Solar - Solar,39,2.5,97.5,, In Service , Solar ,Full Commercial Use Date,2019.0
215,NSW,Existing Plant,West Wyalong Solar Farm,West Wyalong Fund Pty Ltd,Solar - Solar,29,3.63,105.27,, In Service , Solar ,Full Commercial Use Date,2022.0
216,QLD,Project,Western Downs Battery,Western Downs BESS Trust,Other - Other,140,1.82,254.94,500.0, Committed , Battery Storage ,Full Commercial Use Date,2024.0
217,QLD,Existing Plant,Western Downs Green Power Hub P/L,Western Downs Green Power Hub Pty Ltd,Solar - Solar,167,2.4,399.97,, In Service , Solar ,Full Commercial Use Date,2023.0
218,SA, Existing Plant ,Willogoleche Wind Farm, Willogoleche Power Pty Ltd , Wind - Wind ,24,3.83,91.92,, In Service , Wind ,Full Commercial Use Date,2019.0
219,SA, Existing Plant ,Willogoleche Wind Farm, Willogoleche Power Pty Ltd , Wind - Wind ,8,3.43,27.44,, In Service , Wind ,Full Commercial Use Date,2019.0
220,NSW, Project ,Winterbourne Wind Farm, WinterbourneWind Pty Ltd , Wind - Wind ,118,6.2,731.6,, Publicly Announced , Wind ,Full Commercial Use Date,1930.0
221,NSW, Project ,Wollar Solar Farm, Wollar Solar Development Pty Ltd , Solar - Solar ,1,280,280,, Committed , Solar ,Full Commercial Use Date,2024.0
222,QLD,Existing Plant,Woolooga Solar Farm,Woolooga Fund Pty Ltd,Solar - Solar,89,2.5,222.5,, In Service , Solar ,Full Commercial Use Date,2022.0
223,NSW, Existing Plant ,Wyalong Solar Farm, Wyalong Solar Farm Pty Ltd as the trustee for the Wyalong Solar Farm Unit Trust , Solar - Solar ,38,1.64,62.32,, In Service , Solar ,Full Commercial Use Date,2022.0
224,QLD, Project ,Yabulu Solar Farm, Yabulu Solar Farm Pty Ltd , Solar - Solar ,22,4.2,92.4,, Publicly Announced , Solar ,Full Commercial Use Date,2026.0
225,NSW, Project ,Yanco Solar Farm, Origin Energy , Solar - Solar ,1,60,60,, Publicly Announced , Solar ,Full Commercial Use Date,2026.0
226,QLD, Existing Plant ,Yarranlea Solar Farm, Yarranlea Solar Pty Ltd , Solar - Solar ,44,2.34,102.96,, In Service , Solar ,Full Commercial Use Date,2021.0
227,VIC, Existing Plant ,Yawong Wind Farm, Yawong Wind Farm Pty Ltd , Wind - Wind ,2,3.6,7.2,, In Service , Wind ,Full Commercial Use Date,2018.0
228,VIC, Existing Plant ,Yendon Wind Farm, Northleaf /InfraRed/Macquarie Capital , Wind - Wind ,38,3.8,144.4,0.0, In Service , Wind ,Full Commercial Use Date,2021.0
229,SA, Project ,Yorke Peninsula Wind Farm, Yorke Peninsula Wind Farm Project Pty Ltd , Wind - Wind ,104,7.2, 624.00 - 748.80 ,, Publicly Announced , Wind ,Full Commercial Use Date,1930.0
230,SA,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation,Solar - Solar,4,2.75,11,, In Service , Solar ,Expected Closure Year,2041.0
231,SA,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation,Other - Other,1,6.27,6.27,12.6, In Service , Battery Storage ,Expected Closure Year,2041.0
232,SA,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation,Solar - Solar,4,3.43,13.72,, In Service , Solar ,Expected Closure Year,2041.0
233,QLD,Project,Aldoga BESS Stage 1,Acciona Energy Australia Global,Other - Other,1,400, 200.00 - 400.00 ,400.0, Anticipated , Battery Storage ,Expected Closure Year,2049.0
234,QLD,Project,Aramara Solar Farm,Aramara Solar Pty Ltd,Solar - Solar,1,101.4,101.4,, Anticipated , Solar ,Expected Closure Year,2048.0
235,NSW,Project,Armidale BESS,VALENT ENERGY DEVELOPMENTS PTY LTD,Other - Other,1,150,150,300.0, Publicly Announced , Battery Storage ,Expected Closure Year,2045.0
236,NSW,Existing Plant,Avonlie Solar Farm,Iberdrola Australia Limited,Solar - Solar,70,3.63,254.1,, In Service , Solar ,Expected Closure Year,2058.0
237,QLD,Existing Plant,Baking Board Solar Farm Chinchilla,Chinchilla Solar Pty Ltd,Solar - Solar,1,14.7,14.7,, In Service , Solar ,Expected Closure Year,2044.0
238,QLD,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd,Wind - Wind,54,6,324,, Publicly Announced , Wind ,Expected Closure Year,2057.0
239,QLD,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd,Wind - Wind,38,6,228,, Publicly Announced , Wind ,Expected Closure Year,2056.0
240,NSW,Existing Plant,Bango 973 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust,Wind - Wind,30,5.3,159,, In Service , Wind ,Expected Closure Year,2045.0
241,NSW,Existing Plant,Bango 999 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust,Wind - Wind,16,5.3,84.8,, In Service , Wind ,Expected Closure Year,2045.0
242,VIC,Existing Plant,Bannerton Solar Park,Foresight Solar Australia Pty Ltd,Solar - Solar,40,2.5,100,, In Service , Solar ,Expected Closure Year,2049.0
243,SA,Existing Plant,Barker Inlet Power Station,AGL Barker Inlet Pty Ltd,Fossil - Natural Gas Pipeline,12,17.5,210,, In Service , Gas other ,Expected Closure Year,2044.0
244,SA,Project,Baroota Pumped Hydro Project,ACEN Renewables,Hydro - Water,2,125,250,0.0, Publicly Announced , Water ,Expected Closure Year,2072.0
245,VIC,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd,Wind - Wind,43,4.2,180.6,, In Service , Wind ,Expected Closure Year,2050.0
246,VIC,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd,Wind - Wind,26,4.2,109.2,, In Service , Wind ,Expected Closure Year,2052.0
247,NSW,Existing Plant,Beryl Solar Farm,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust,Solar - Solar,60,1.64,98.4,0.0, In Service , Solar ,Expected Closure Year,2049.0
248,QLD,Existing Plant,Bluegrass Solar Farm,X-Elio Australia Pty Ltd,Solar - Solar,1,148,148,0.0, In Service , Solar ,Expected Closure Year,2057.0
249,SA,Project,Blyth BESS,Neoen Australia Pty Ltd,Other - Other,64,3.13,200,400.0, Committed , Battery Storage ,Expected Closure Year,2044.0
250,NSW,Existing Plant,Bodangora Wind Farm,Bodangora Wind Farm Pty Ltd,Wind - Wind,33,3.43,113.19,, In Service , Wind ,Expected Closure Year,2049.0
251,SA,Existing Plant,Bolivar Power Station,Iberdrola Australia Energy Markets Pty Limited,Fossil - Natural Gas Pipeline,4,30.8,123.2,, In Service , OCGT ,Expected Closure Year,2045.0
252,SA,Existing Plant,Bolivar Waste Water Treatment,South Australian Water Corporation,Solar - Solar,3,3.75,11.25,, In Service , Solar ,Expected Closure Year,2045.0
253,SA,Existing Plant,Bolivar Waste Water Treatment,South Australian Water Corporation,Other - Other,1,2.46,2.46,5.04, In Service , Battery Storage ,Expected Closure Year,2045.0
254,NSW,Existing Plant,Bomen Solar Farm,Spark Infrastructure Holdings No. 6 Pty Limited,Solar - Solar,44,2.75,121,0.0, In Service , Solar ,Expected Closure Year,2050.0
255,NSW,Project,Bonshaw Solar Farm,GAIA Australia Pty Ltd,Solar - Solar,1,200,200,, Publicly Announced , Solar ,Expected Closure Year,2053.0
256,QLD,Project,Borumba,Queensland Hydro,Hydro - Water,6,333,"1,998.00",48000.0, Anticipated , Water ,Expected Closure Year,2130.0
257,QLD,Existing Plant,Bouldercombe Battery project,Genex Power Limited,Other - Other,40,1.25,50,100.0, In Service , Battery Storage ,Expected Closure Year,2042.0
258,NSW,Existing Plant,Broken Hill,MACQGEN,Other - Other,1,50,50,50.0, In Commissioning , Battery Storage ,Expected Closure Year,2043.0
259,VIC,Existing Plant,Bulgana Green Power Hub - BESS,Bulgana Wind Farm Pty Ltd,Other - Other,40,0.5,20,34.0, In Service , Battery Storage ,Expected Closure Year,2049.0
260,VIC,Existing Plant,Bulgana Green Power Hub - Wind Farm,Bulgana Wind Farm Pty Ltd,Wind - Wind,56,3.65,204.4,, In Service , Wind ,Expected Closure Year,2049.0
261,QLD,Project,Bundaberg Solar Farm,Bundaberg Development Pty Ltd,Solar - Solar,1,78,78,, Committed , Solar ,Expected Closure Year,2050.0
262,SA,Existing Plant,Bungala One Solar Farm,Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust,Solar - Solar,54,2.5,135,0.0, In Service , Solar ,Expected Closure Year,2044.0
263,SA,Existing Plant,Bungala Two Solar Farm,Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust,Solar - Solar,54,2.5,135,, In Service , Solar ,Expected Closure Year,2044.0
264,QLD,Project,Burdekin BESS,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,Other - Other,139,3.6,500.4,2000.0, Publicly Announced , Battery Storage ,Expected Closure Year,2056.0
265,QLD,Project,Burdekin Solar Farm - KCI,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,Solar - Solar,2,3.6,7.2,, Publicly Announced , Solar ,Expected Closure Year,2057.0
266,NSW,Project,Capital Battery,Capital Battery Pty Ltd,Other - Other,33,3.04,100.32,200.0, Committed , Battery Storage ,Expected Closure Year,2048.0
267,QLD,Project,Captains Mountain Wind Farm,vestas_NR,Wind - Wind,45,7.2,324,, Publicly Announced , Wind ,Expected Closure Year,2057.0
268,NSW,Project,Carag Solar Farm,Enerparc Australia Pty Ltd,Solar - Solar,4,4,16,, Publicly Announced , Solar ,Expected Closure Year,2053.0
269,VIC,Project,Carisbrook Solar Farm,Origin Energy,Solar - Solar,1,74,74,, Publicly Announced , Solar ,Expected Closure Year,2049.0
270,TAS,Existing Plant,Cattle Hill Wind Farm,Wild Cattle Hill Pty Ltd,Wind - Wind,45,3.2,144,, In Service , Wind ,Expected Closure Year,2044.0
271,VIC,Existing Plant,Chepstowe Wind Farm - VIC,Chepstowe Wind Farm Pty Ltd,Wind - Wind,3,2.05,6.15,, In Service , Wind ,Expected Closure Year,2039.0
272,VIC,Existing Plant,Cherry Tree Wind Farm,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust,Wind - Wind,16,3.6,57.6,, In Service , Wind ,Expected Closure Year,2050.0
273,QLD,Existing Plant,Childers Solar Farm,Childers Solar Pty Ltd as trustee for the Childers Solar Trust,Solar - Solar,37,1.74,64.38,, In Service , Solar ,Expected Closure Year,2049.0
274,QLD,Existing Plant,Chinchilla BESS,CSENERGY,Other - Other,1,100,100,200.0, In Service , Battery Storage ,Expected Closure Year,2038.0
275,SA,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation,Other - Other,1,2.09,2.09,4.32, In Service , Battery Storage ,Expected Closure Year,2041.0
276,SA,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation,Solar - Solar,2,2.4,4.8,, In Service , Solar ,Expected Closure Year,2041.0
277,QLD,Project,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd,Wind - Wind,77,4.5,346.5,, Committed , Wind ,Expected Closure Year,2049.0
278,QLD,Project,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd,Wind - Wind,23,4.5,103.5,, Committed , Wind ,Expected Closure Year,2049.0
279,QLD,Existing Plant,Clermont Solar Farm,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust,Solar - Solar,37,2.5,92.5,, In Service , Solar ,Expected Closure Year,2049.0
280,NSW,Existing Plant,Collector,Ratch Australia,Wind - Wind,54,4.2,226.8,, In Service , Wind ,Expected Closure Year,2046.0
281,QLD,Existing Plant,Collinsville PV,Ratch Australia,Solar - Solar,17,2.5,42.5,, In Service , Solar ,Expected Closure Year,2044.0
282,QLD,Existing Plant,Columboola Solar Farm,Luminous Energy,Solar - Solar,79,2.75,217.25,0.0, In Service , Solar ,Expected Closure Year,2046.0
283,QLD,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited,Wind - Wind,91,3.63,330.33,, In Service , Wind ,Expected Closure Year,2044.0
284,QLD,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited,Wind - Wind,32,3.83,122.56,, In Service , Wind ,Expected Closure Year,2044.0
285,NSW,Existing Plant,Corowa Solar Farm,Corowa Operationsco Pty Ltd as trustee for Corowa Operations Trust,Solar - Solar,22,1.64,36.01,, In Service , Solar ,Expected Closure Year,2051.0
286,NSW,Existing Plant,Crookwell 2 Wind Farm,Crookwell Development Pty Ltd,Wind - Wind,28,3.43,96.04,, In Service , Wind ,Expected Closure Year,2043.0
287,NSW,Project,Crookwell 3 Wind Farm,Crookwell 3 Development Pty Ltd,Wind - Wind,16,3.6,57.6,, Committed , Wind ,Expected Closure Year,2054.0
288,NSW,Existing Plant,Crudine Ridge Wind Farm,CRWF Nominees Pty Ltd as trustee of the CRWF Trust,Wind - Wind,37,3.83,141.71,, In Service , Wind ,Expected Closure Year,2041.0
289,NSW,Project,Culcairn Solar Farm,Culcarin Solar Farm Trust,Solar - Solar,111,3.15, 0.22 - 349.98 ,, Committed , Solar ,Expected Closure Year,2050.0
290,SA,Project,Cultana Solar Farm,Cultana Solar Project Company Pty Ltd as trustee for the Cultana Solar Farm Trust,Solar - Solar,104,3.44,357.45,, Anticipated , Solar ,Expected Closure Year,2055.0
291,NSW,Existing Plant,Darlington Point Energy Storage System,DPESS Pty Ltd,Other - Other,1,25,25,50.0, In Service , Battery Storage ,Expected Closure Year,2051.0
292,NSW,Existing Plant,Darlington Point Solar Farm,Darlington Point Solar Farm Pty Ltd,Solar - Solar,108,2.55,274.97,, In Service , Solar ,Expected Closure Year,2055.0
293,VIC,Project,Derby Solar Farm,DERBY SOLAR PROJECT PTY LTD ,Solar - Solar,30,3.17,95.1,, Anticipated , Solar ,Expected Closure Year,2053.0
294,VIC,Existing Plant,Diapur Wind Farm,Diapur Wind Farm Pty Ltd,Wind - Wind,2,4,8,, In Service , Wind ,Expected Closure Year,2046.0
295,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Solar - Solar,1,400,400,, Publicly Announced , Solar ,Expected Closure Year,2058.0
296,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Solar - Solar,1,400, 4.00 - 400.00 ,, Publicly Announced , Solar ,Expected Closure Year,2057.0
297,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Wind - Wind,114,6.6, 513.00 - 752.40 ,, Publicly Announced , Wind ,Expected Closure Year,2059.0
298,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Wind - Wind,86,6.6, 344.00 - 567.60 ,, Publicly Announced , Wind ,Expected Closure Year,2058.0
299,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Other - Other,1,300,300,600.0, Publicly Announced , Battery Storage ,Expected Closure Year,2058.0
300,QLD,Existing Plant,Dulacca Wind Farm,Dulacca Energy Project Co Pty Ltd,Wind - Wind,43,4.02,172.99,, In Service , Wind ,Expected Closure Year,2053.0
301,VIC,Existing Plant,Dundonnell Wind Farm,Tilt Renewables,Wind - Wind,40,4.2,168,, In Service , Wind ,Expected Closure Year,2045.0
302,VIC,Existing Plant,Dundonnell Wind Farm,Tilt Renewables,Wind - Wind,29,4.2,121.8,, In Service , Wind ,Expected Closure Year,2045.0
303,VIC,Existing Plant,Dundonnell Wind Farm,Tilt Renewables,Wind - Wind,11,4.2,46.2,, In Service , Wind ,Expected Closure Year,2045.0
304,QLD,Existing Plant,Edenvale Solar Park,Edenvale Solar Park Pty Ltd,Solar - Solar,1,180,180,, In Service , Solar ,Expected Closure Year,2053.0
305,VIC,Existing Plant,Elaine Wind Farm,Northleaf /InfraRed/Macquarie Capital,Wind - Wind,22,3.8,83.6,, In Service , Wind ,Expected Closure Year,2049.0
306,QLD,Existing Plant,Emerald Solar Park,Lighthouse Infrastructure Management Limited,Solar - Solar,32,2.25,72,, In Service , Solar ,Expected Closure Year,2048.0
307,NSW,Project,Eraring Big Battery,Origin Energy Electricity Limited,Other - Other,1,460,460,920.0, Committed* , Battery Storage ,Expected Closure Year,2045.0
308,NSW,Existing Plant,Finley Solar Farm,Finley Solar Farm Pty Ltd as The trustee for Finley Solar Trust,Solar - Solar,99,1.64,162.36,, In Service , Solar ,Expected Closure Year,2049.0
309,NSW,Existing Plant,Flyers Creek Wind Farm,Flyers Creek Wind Farm Pty Ltd,Wind - Wind,38,3.83,145.54,, In Service , Wind ,Expected Closure Year,2063.0
310,VIC,Project,Frasers Solar Farm,Frasers Lane Development Pty Ltd,Solar - Solar,1,77,77,, Anticipated , Solar ,Expected Closure Year,2054.0
311,VIC,Project,Girgarre Solar Farm,Giragarre Solar Farm Pty Ltd as trustee for Giragarre Solar Farm Trust,Solar - Solar,57,1.64,93.48,, Committed , Solar ,Expected Closure Year,2054.0
