Region,Asset Type, Site Name , Owner , Technology Type , Fuel Type , DUID ,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId, AEMO KCI Id , Survey Last Requested ,Survey Version DateTime
 QLD1 ,Project,Captains Mountain Wind Farm,vestas_NR, Wind Turbine - Onshore ,Wind - Wind,,45,7.2,7.2,324,324,324,, Publicly Announced ,SS,Dec-27,2057,,Proposed, Wind ,2037,Q00046,May-23,23/05/2023
 NSW1 ,Project,Carag Solar Farm,Enerparc Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,4,,4,,16,16,, Publicly Announced ,NS,Mar-25,2053,,Proposed, Solar ,1910,,,18/03/2024
 VIC1 ,Existing Plant,Cardinia Creek Mini-Hydro,TBA, Hydro - Dam ,Hydro - Water,,1,,0.09,,0.09,0.09,, In Service ,NS,,,,Existing less Announced Withdrawal, Water ,2078,,,
 VIC1 ,Existing Plant,CARINA WEST H2E,TBA, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Bagasse,,1,,3.1,,3.1,3.1,, In Service ,NS,,,,Existing less Announced Withdrawal, Biomass ,2079,,,
 VIC1 ,Project,Carisbrook Solar Farm,Origin Energy, Solar PV - Single axis tracking ,Solar - Solar,,1, -   ,74, -   ,74,74,, Publicly Announced ,SS,May-30,2049,,Proposed, Solar ,1713,,May-24,4/06/2024
 SA1 ,Project,Carmody BESS,GHRE, Storage - Battery ,Other - Other,,1,100,100,100,100,100,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2649,S00058,,
 SA1 ,Project,Carmodys Hill Wind Farm,Georgetown Hills Renewable Energy Pty Ltd, Storage - Battery ,Wind - Wind,,1,118,118,118,118,118,236, Publicly Announced ,SS,,,,Proposed, Battery Storage ,1040,,May-24,4/06/2024
 SA1 ,Project,Carmodys Hill Wind Farm,Georgetown Hills Renewable Energy Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,38,6.2,6.6,235.6,250.8, 235.60 - 250.80 ,, Publicly Announced ,SS,,,,Proposed, Wind ,1040,,May-24,4/06/2024
 VIC1 ,Project,Carwarp BESS,Canadian Solar, Storage - Battery ,Other - Other,,1,,30,,30,30,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,1948,V00121,Jan-24,13/07/2022
 VIC1 ,Project,Carwarp Solar Farm - Stage I,Canadian Solar (Australia) Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,150,150,150,150,150,0, Publicly Announced ,SS,,,,Proposed, Solar ,1687,,May-24,
 VIC1 ,Project,Carwarp Solar Farm - Stage II,Canadian Solar (Australia) Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,150,150,150,150,150,0, Publicly Announced ,SS,,,,Proposed, Solar ,1688,,Jan-24,
 TAS1 ,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,LI_WY_CA,3,12.8,12.8,38.4,38.4,38.4,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1041,,Feb-24,11/03/2024
 TAS1 ,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,LI_WY_CA,2,27.9,27.9,55.8,55.8,55.8,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1041,,Feb-24,11/03/2024
 TAS1 ,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,LI_WY_CA,1,24,24,24,24,24,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1041,,Feb-24,11/03/2024
 TAS1 ,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,LI_WY_CA,1,27,27,27,27,27,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1041,,Feb-24,11/03/2024
 TAS1 ,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,LI_WY_CA,1,31.5,31.5,31.5,31.5,31.5,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1041,,Feb-24,11/03/2024
 SA1 ,Existing Plant,Cathedral Rocks,JV Cathedral Rock Investments Pty Ltd  - Acciona Energy Australia Global Pty Ltd and EnergyAustralia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CATHROCK,31,2,2,62,62,62,, In Service ,SS,,2030,,Existing less Announced Withdrawal, Wind ,1042,,Feb-24,27/02/2024
 QLD1 ,Project,Cattle Creek Wind Farm - KCI,RWE Renewables Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,1,, -   ,, -   ,,, Publicly Announced ,SS,,,,Proposed, Wind ,2752,Q00160,,
 QLD1 ,Project,Cattle Creek Wind Farm - KCI,RWE Renewables Australia Pty Ltd, Storage - Battery ,Other - Other,,1,, -   ,, -   ,,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2752,Q00160,,
 TAS1 ,Existing Plant,Cattle Hill Wind Farm,Wild Cattle Hill Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CTHLWF1,45,3,3.2,135,144,144,, In Service ,SS,Feb-21,2044,,Existing less Announced Withdrawal, Wind ,1260,,Feb-24,15/03/2024
 VIC1 ,Existing Plant,Cedar Meats Solar Geelong,Cedar Meats, Solar PV - Fixed ,Solar - Solar,,1,,0.2,,0.2,0.2,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2080,,,
 NSW1 ,Project,Central West Pumped Hydro, ATCO Australia Pumped Hydro Pty Ltd, Hydro - Dam ,Hydro - Water,,1,325,325,325,325,325,, Publicly Announced ,TBA,,,,Proposed, Water ,2192,N00054,Sep-23,
 TAS1 ,Existing Plant,Cethana,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,CETHANA,1,85,85,85,85,85,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1043,,Feb-24,8/03/2024
 TAS1 ,Project,Cethana Pumped Hydro Option,Hydro-Electric Corporation, Storage - Pumped hydro ,Hydro - Water,,4,,187.5,,750,750,15000, Publicly Announced ,S,,,,Proposed, Water ,2224,T00001,Apr-23,18/03/2024
 SA1 ,Project,Chaff Mill (Mintaro) BESS,FRV Services Australia Pty Ltd, Storage - Battery ,Other - Other,CHMLBESS,29,3.5,3.5,101.5,101.5,101.5,200, Publicly Announced ,S,,,,Proposed, Battery Storage ,2238,S00006,Apr-23,27/03/2023
 VIC1 ,Existing Plant,Challicum Hills,Pacific Hydro Challicum Hills Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,35,1.5,1.5,52.5,52.5,52.5,, In Service ,NS,,2030,,Existing less Announced Withdrawal, Wind ,1044,,Feb-24,8/03/2024
 QLD1 ,Project,Chances Plain Solar Farm,juwi Renewable Energy Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,30,3.27,3.27,98.01,98.01,98.01,, Publicly Announced ,SS,,,,Proposed, Solar ,1856,,May-23,6/06/2023
 VIC1 ,Existing Plant,Chepstowe Wind Farm - VIC,Chepstowe Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CHPSTWF1,3,2.05,2.05,6.15,6.15,6.15,, In Service ,NS,Mar-15,2039,,Existing less Announced Withdrawal, Wind ,1261,,Sep-22,6/10/2022
 VIC1 ,Existing Plant,Cherry Tree Wind Farm,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust, Wind Turbine - Onshore ,Wind - Wind,CHYTWF1,16,3.6,3.6,57.6,57.6,57.6,, In Service ,SS,Jul-20,2050,,Existing less Announced Withdrawal, Wind ,1263,,Feb-24,15/03/2024
 QLD1 ,Existing Plant,Childers Solar Farm,Childers Solar Pty Ltd as trustee for the Childers Solar Trust, Solar PV - Single axis tracking ,Solar - Solar,CHILDSF1,37,,1.74,,64.38,64.38,, In Service ,SS,Jun-19,2049,,Existing less Announced Withdrawal, Solar ,1441,,Feb-24,7/03/2024
 NSW1 ,Existing Plant,Chillamurra,TBA, Solar PV - Fixed ,Solar - Solar,,1,,4.77,,4.77,4.77,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2081,,,
 QLD1 ,Existing Plant,Chillamurra Solar Farm,Chillamurra Solar Pty Ltd, Solar PV - Fixed ,Solar - Solar,,60,0.06,0.06,3.6,3.6,3.6,0, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,1498,,Sep-22,
 QLD1 ,Existing Plant,Chinchilla BESS,CSENERGY, Storage - Battery ,Other - Other,CHBESSG1,1,,100,,100,100,200, In Service ,S,Jul-24,2038,,Existing less Announced Withdrawal, Battery Storage ,2031,Q00032,May-24,3/06/2024
 QLD1 ,Project,Chinchilla Solar Farm,First Solar Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,69,1.64,1.64,113.16,113.16,113.16,0, Publicly Announced ,SS,,,,Proposed, Solar ,1418,,Sep-23,
 NSW1 ,Project,Chipping Norton Waste to Energy,Benedict Indistries P/L, Turbine - Steam Sub Critical ,Other - Other,,1,8,8,8,8,8,, Publicly Announced ,NS,,,,Proposed, Gas other ,1479,,Sep-22,
 SA1 ,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation, Storage - Battery ,Other - Other,CBWWBA1G,1,,2.09,,2.09,2.09,4.32, In Service ,S,Jan-23,2041,,Existing less Announced Withdrawal, Battery Storage ,1845,,Feb-24,18/03/2024
 SA1 ,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation, Solar PV - Single axis tracking ,Solar - Solar,CBWWPV1,2,,2.4,,4.8,4.8,, In Service ,NS,Oct-22,2041,,Existing less Announced Withdrawal, Solar ,1845,,Feb-24,18/03/2024
 QLD1 ,Existing Plant,Churchill Abattoir,TBA, Solar PV - Fixed ,Solar - Solar,,1,,0.91,,0.91,0.91,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2082,,,
 TAS1 ,Project,Cimitiere Plains Solar Farm,Sun Spot 9 Pty Ltd, Solar PV - Fixed ,Solar - Solar,,84,3.43,3.43,288.12,288.12,288.12,, Publicly Announced ,TBA,,,,Proposed, Solar ,2540,T00026,Sep-23,
 QLD1 ,Existing Plant,Clare Solar Farm,Clare Asset Co Pty Ltd ATF Clare Asset Trust, Solar PV - Single axis tracking ,Solar - Solar,CLARESF1,69,1.45,1.6,99.98,110.4,110.4,, In Service ,SS,,2047,,Existing less Announced Withdrawal, Solar ,1383,,Feb-24,28/02/2024
 QLD1 ,Project,Clarke Creek 2 BESS - KCI,Isaac Wind and Solar Energy Pty Ltd, Storage - Battery ,Other - Other,,1,, -   ,, -   ,,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2753,Q00161,,
 QLD1 ,Project,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CLRKCWF1,77, -   ,4.5, -   ,346.5,346.5,, Committed ,SS,Sep-25,2049,,Committed, Wind ,1988,,May-24,27/05/2024
 QLD1 ,Project,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CLRKCWF2,23, -   ,4.5, -   ,103.5,103.5,, Committed ,SS,Sep-25,2049,,Committed, Wind ,1988,,May-24,27/05/2024
 VIC1 ,Existing Plant,Clayton,EDL LFG Vic Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,CLAYTON,12,,1,,12,12,, In Service ,NS,,2025,,Existing less Announced Withdrawal, Biomass ,1046,,Mar-22,30/09/2022
 SA1 ,Project,Clements Gap - BESS,Pacific Hydro Clements Gap Pty Ltd, Storage - Battery ,Other - Other,,1,,60,,60,60,120, Committed ,S,May-26,,,Committed, Battery Storage ,1993,,May-24,18/06/2024
 SA1 ,Existing Plant,Clements Gap Wind Farm,Pacific Hydro Clements Gap Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CLEMGPWF,27,,2.1,,56.7,56.7,, In Service ,SS,,2039,,Existing less Announced Withdrawal, Wind ,1047,,Feb-24,8/03/2024
 QLD1 ,Existing Plant,Clermont Solar Farm,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust, Solar PV - Single axis tracking ,Solar - Solar,CLERMSF1,37,2.05,2.5,75.85,92.5,92.5,, In Service ,SS,Mar-19,2049,,Existing less Announced Withdrawal, Solar ,1562,,Feb-24,11/03/2024
 VIC1 ,Existing Plant,Clover,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water,CLOVER,2, -   ,14.5, -   ,29,29,, In Service ,NS,,2057,,Existing less Announced Withdrawal, Water ,1048,,Mar-22,18/03/2024
 NSW1 ,Existing Plant,Club Merrylands,Club Merrylands, Other - Other ,Fossil - Diesel,,1,,,,,,, In Service ,NS,,,,Existing less Announced Withdrawal, Other ,1049,,,
 TAS1 ,Existing Plant,Cluny,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,CLUNY,1,19,19,19,19,19,, In Service ,NS,,2100,,Existing less Announced Withdrawal, Water ,1050,,Mar-22,18/03/2024
 VIC1 ,Existing Plant,Codrington Wind Farm,Energy Pacific (Vic) Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CODRNGTON,14,1.3,1.3,18.2,18.2,18.2,, In Service ,NS,,2026,,Existing less Announced Withdrawal, Wind ,1051,,Sep-22,18/03/2024
 VIC1 ,Existing Plant,Cohuna Solar Farm,Cohuna Solar Farm Pty Ltd as trustee for the Cohuna Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar,COHUNSF1,19,1.43,1.64,27.17,31.16,31.16,, In Service ,SS,,2045,,Existing less Announced Withdrawal, Solar ,1691,,Feb-24,18/03/2024
 NSW1 ,Project,Coleambally BESS,Coleambally BESS Trust , Storage - Battery ,Other - Other,,1,,100,,100,100,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,1940,N00024,Apr-23,12/12/2022
 NSW1 ,Existing Plant,Coleambally Solar Farm,Coleambally Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,COLEASF1,90,0.02,1.67,1.8,150.3,150.3,, In Service ,SS,,2043,,Existing less Announced Withdrawal, Solar ,1420,,Feb-24,21/03/2024
 NSW1 ,Existing Plant,Collector,Ratch Australia, Wind Turbine - Onshore ,Wind - Wind,COLWF01,54,4.2,4.2,226.8,226.8,226.8,, In Service ,SS,Dec-20,2046,,Existing less Announced Withdrawal, Wind ,1052,,Feb-24,13/03/2024
 QLD1 ,Project,Collinsville Coal Fired Power Station Project - KCI, Shine Energy, Other - Other ,Fossil - Black Coal,,1,990,990,990,990,990,, Publicly Announced ,TBA,,,,Proposed, Coal ,2276,Q00017,Sep-23,
 QLD1 ,Project,Collinsville Green Energy Hub,COLLINSVILLE GREEN ENERGY HUB PTY LTD , Wind Turbine - Onshore ,Wind - Wind,,364,,7.8,,"2,839.20","2,839.20",, Publicly Announced ,S,,,,Proposed, Wind ,2520,,Sep-23,18/03/2024
 QLD1 ,Project,Collinsville North Battery Project,TBSOL, Storage - Battery ,Other - Other,,1,100,100,100,100,100,100, Publicly Announced ,S,Dec-26,,,Proposed, Battery Storage ,1734,,Sep-22,24/03/2023
 QLD1 ,Existing Plant,Collinsville PV,Ratch Australia, Solar PV - Fixed ,Solar - Solar,CSPVPS1,17,2.5,2.5,42.5,42.5,42.5,, In Service ,SS,Aug-18,2044,,Existing less Announced Withdrawal, Solar ,1349,,Feb-24,11/03/2024
 NSW1 ,Existing Plant,Colongra,Snowy Hydro Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,CG1,1,,181,,181,181,, In Service ,S,,2070,,Existing less Announced Withdrawal, OCGT ,1053,,Feb-24,13/03/2024
 NSW1 ,Existing Plant,Colongra,Snowy Hydro Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,CG2,1,162,181,162,181,181,, In Service ,S,,2070,,Existing less Announced Withdrawal, OCGT ,1053,,Feb-24,13/03/2024
 NSW1 ,Existing Plant,Colongra,Snowy Hydro Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,CG3,1,,181,,181,181,, In Service ,S,,2070,,Existing less Announced Withdrawal, OCGT ,1053,,Feb-24,13/03/2024
 NSW1 ,Existing Plant,Colongra,Snowy Hydro Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,CG4,1,,181,,181,181,, In Service ,S,,2070,,Existing less Announced Withdrawal, OCGT ,1053,,Feb-24,13/03/2024
 QLD1 ,Project,Columboola BESS,Columboola BESS Nominees Pty Ltd, Storage - Battery ,Other - Other,,1,700,700,700,700,700,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2554,Q00116,Sep-23,
 QLD1 ,Existing Plant,Columboola Solar Farm,Luminous Energy, Solar PV - Single axis tracking ,Solar - Solar,COLUMSF1,79,2.75,2.75,217.25,217.25,217.25,0, In Service ,SS,Oct-23,2046,,Existing less Announced Withdrawal, Solar ,1459,,May-24,29/05/2024
 QLD1 ,Project,Comet Energy Park,Hadstone Energy Pty Ltd, Storage - Battery ,Other - Other,,1,,120,,120,120,800, Publicly Announced ,S,,,,Proposed, Battery Storage ,2749,,,21/06/2024
 NSW1 ,Project,Comet Park BESS - KCI,Samsung C&T Renewable Energy Australia Pty Ltd., Storage - Battery ,Other - Other,,1,,150,,150,150,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2754,N00172,,
 QLD1 ,Existing Plant,Condamine A,QGC Sales QLD Pty Ltd, Turbine - CCGT ,Fossil - Coal Seam Methane,CPSA,2,,43.7,,87.4,87.4,, In Service ,S,,2039,,Existing less Announced Withdrawal, CCGT ,1054,,Feb-24,13/03/2024
 QLD1 ,Existing Plant,Condamine A,QGC Sales QLD Pty Ltd, Turbine - Steam Sub Critical ,Fossil - Coal Seam Methane,CPSA,1,,57,,57,57,, In Service ,S,,2039,,Existing less Announced Withdrawal, Gas other ,1054,,Feb-24,13/03/2024
 NSW1 ,Existing Plant,Condong,Cape Byron Management PTY LTD, Turbine - Steam Sub Critical ,Renewable Biomass or Waste - Bagasse,CONDONG1,1,30,30,30,30,30,, In Service ,NS,,2038,,Existing less Announced Withdrawal, Biomass ,1055,,Sep-23,9/10/2023
 NSW1 ,Project,Conroys Gap WF - KCI,Waldren Construction Pty Ltd., Wind Turbine - Onshore ,Wind - Wind,,15,,2,,30,30,, Publicly Announced ,SS,,,,Proposed, Wind ,2755,N00170,,
 VIC1 ,Project,Cooba Solar Farm - KCI, Venn Energy Pty Ltd / Cooba Solar Project Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,76,,4.2,,319.2,319.2,, Publicly Announced ,SS,,2056,,Proposed, Solar ,2331,V00058,Jan-24,7/06/2024
 NSW1 ,Project,Cooma BESS (ACEN),ACEN RENEWABLES, Storage - Battery ,Other - Other,,1,80,80,80,80,80,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2681,N00151,,
 NSW1 ,Project,Cooma Solar Farm,BE PRO CM pty ltd, Solar PV - Single axis tracking ,Solar - Solar,,2, -   ,130, -   ,260,260,0, Publicly Announced ,SS,,,,Proposed, Solar ,1983,,Jan-24,2/12/2022
 NSW1 ,Project,Cooma Solar Farm (ACEN),ACEN RENEWABLES, Solar PV - Fixed ,Solar - Solar,,1,100,100,100,100,100,, Publicly Announced ,SS,,,,Proposed, Solar ,2680,N00151,,
 NSW1 ,Project,Cooma Solar Farm (Lightsource), Lightsource Development Services Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,100,100,100,100,100,, Publicly Announced ,TBA,,,,Proposed, Solar ,2177,N00009,Jan-24,
 VIC1 ,Existing Plant,Coonooer Bridge Wind Farm,Coonooer Bridge Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,6,3.3,3.3,19.8,19.8,19.8,, In Service ,NS,,2036,,Existing less Announced Withdrawal, Wind ,1333,,Mar-22,22/03/2023
 SA1 ,Existing Plant,Coopers Co-gen,AGL, Turbine - CCGT ,Fossil - Natural Gas Pipeline,,1,,4.4,,4.4,4.4,, In Service ,NS,,,,Existing less Announced Withdrawal, CCGT ,1542,,Sep-22,
 QLD1 ,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited, Wind Turbine - Onshore ,Wind - Wind,COOPGWF1,91,,3.63,,330.33,330.33,, In Service ,SS,Apr-22,2044,,Existing less Announced Withdrawal, Wind ,1057,,Feb-24,7/03/2024
 QLD1 ,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited, Wind Turbine - Onshore ,Wind - Wind,COOPGWF1,32,,3.83,,122.56,122.56,, In Service ,SS,Apr-22,2044,,Existing less Announced Withdrawal, Wind ,1057,,Feb-24,7/03/2024
 QLD1 ,Project,Cooroy BESS,Enervest Pty Ltd, Storage - Battery ,Other - Other,,1,100,100,100,100,100,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2632,,,
 NSW1 ,Existing Plant,Copeton,AGL, Hydro - Dam ,Hydro - Water,COPTNHYD,1,20,20,20,20,20,, In Service ,NS,,,,Existing less Announced Withdrawal, Water ,1058,,Mar-22,14/03/2024
 NSW1 ,Project,Coppabella Wind Farm,Coppabella Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,COPBEL,69,4.2,4.2,289.8,289.8,289.8,, Publicly Announced ,SS,,2057,,Proposed, Wind ,1581,N00029,May-24,31/05/2024
 TAS1 ,Existing Plant,Copping Renewable Energy Facility,LMS_NR, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,,2,,1.06,,2.12,2.12,, In Service ,NS,,2042,,Existing less Announced Withdrawal, Biomass ,2163,,,30/09/2022
 VIC1 ,Existing Plant,Corio,EDL LFG Vic Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,CORIO,1,1,1,1,1,1,, In Service ,NS,,2029,,Existing less Announced Withdrawal, Biomass ,1292,,Mar-22,30/09/2022
 VIC1 ,Project,Corop BESS,Leeson Solar Pty Ltd., Storage - Battery ,Other - Other,,1,400,400,400,400,400,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2616,V00132,,
 VIC1 ,Project,Corop Solar Farm,Leeson Solar Pty Ltd., Solar PV - Fixed ,Solar - Solar,,1,400,400,400,400,400,, Publicly Announced ,SS,,,,Proposed, Solar ,2615,V00132,,
 NSW1 ,Existing Plant,Corowa Solar Farm,Corowa Operationsco Pty Ltd as trustee for Corowa Operations Trust, Solar PV - Single axis tracking ,Solar - Solar,CRWASF1,22,1.64,1.64,36.01,36.01,36.01,, In Service ,SS,Sep-21,2051,,Existing less Announced Withdrawal, Solar ,1520,,Feb-24,5/06/2024
 VIC1 ,Project,Cranbourne BESS (Macquarie), Macquarie Corporate Holdings Pty Ltd, Storage - Battery ,Other - Other,,1,150,150,150,150,150,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2332,V00035,Sep-23,
 NSW1 ,Existing Plant,Crookwell,Blaney and Crookwell WindFarm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,8,0.6,0.6,4.8,4.8,4.8,, In Service ,NS,,2028,,Existing less Announced Withdrawal, Wind ,1060,,Mar-22,14/03/2024
 NSW1 ,Existing Plant,Crookwell 2 Wind Farm,Crookwell Development Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CROOKWF2,28,3.43,3.43,96.04,96.04,96.04,, In Service ,SS,Sep-18,2043,,Existing less Announced Withdrawal, Wind ,1061,,Feb-24,15/03/2024
 NSW1 ,Project,Crookwell 3 Wind Farm,Crookwell 3 Development Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,16,,3.6,,57.6,57.6,, Committed ,SS,Jun-24,2054,,Committed, Wind ,1062,N00041,May-24,5/06/2024
 QLD1 ,Project,Cross Roads Energy Solar Farm - KCI, Crossroads Energy Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,650,650,650,650,650,, Publicly Announced ,TBA,,,,Proposed, Solar ,2273,Q00011,Sep-23,
 VIC1 ,Existing Plant,Crowlands Wind Farm,Pacific Hydro Crowlands Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CROWLWF1,39,,2.05,,79.95,79.95,, In Service ,SS,,2044,,Existing less Announced Withdrawal, Wind ,1566,,Feb-24,17/04/2024
 VIC1 ,Existing Plant,Crown Melbourne,Crown Resorts, Reciprocating Engine - Spark ignition ,Fossil - Natural Gas Pipeline,Crown Ge,6,,0.93,,5.58,5.58,, In Service ,NS,,,,Existing less Announced Withdrawal, Gas other ,1354,,,
 NSW1 ,Existing Plant,Crudine Ridge Wind Farm,CRWF Nominees Pty Ltd as trustee of the CRWF Trust, Wind Turbine - Onshore ,Wind - Wind,CRURWF1,37,3.6,3.83,133.2,141.71,141.71,, In Service ,SS,Jun-22,2041,,Existing less Announced Withdrawal, Wind ,1281,,Feb-24,15/03/2024
 NSW1 ,Project,Culcairn Solar Farm,Culcarin Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar,,111, -   ,3.15,0.22,349.98, 0.22 - 349.98 ,, Committed ,SS,Jul-26,2050,,Committed, Solar ,2630,,May-24,29/05/2024
 NSW1 ,Existing Plant,Cullerin Range Wind Farm,Cullerin Range Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,CULLRGWF,15,2,2,30,30,30,, In Service ,NS,,2038,,Existing less Announced Withdrawal, Wind ,1064,,Feb-24,15/03/2024
 SA1 ,Project,Cultana Solar Farm,Cultana Solar Project Company Pty Ltd as trustee for the Cultana Solar Farm Trust, Solar PV - Single axis tracking ,Solar - Solar,,104, -   ,3.44, -   ,357.45,357.45,, Anticipated ,SS,Jul-26,2055,,Anticipated, Solar ,1886,,May-24,21/05/2024
 QLD1 ,Project,Dalby Solar Farm,Dalby Asset Trust, Solar PV - Fixed ,Solar - Solar,,1,4.94,4.94,4.94,4.94,4.94,, Publicly Announced ,NS,,2042,,Proposed, Solar ,1412,,Sep-22,29/02/2024
 SA1 ,Existing Plant,Dalrymple BESS,ElectraNet, Storage - Battery ,Other - Other,DALNTH01,12,,2.5,,30,30,9, In Service ,S,,2030,,Existing less Announced Withdrawal, Battery Storage ,1553,,Feb-24,7/03/2024
 VIC1 ,Project,Dalvui BESS,Tilt Renewables Australia Pty Ltd, Storage - Battery ,Other - Other,,1,,200,,200,200,400, Publicly Announced ,S,,,,Proposed, Battery Storage ,1931,V00022,May-23,15/03/2024
 NSW1 ,Project,Dapper Solar Farm,BORAL, Solar PV - Single axis tracking ,Solar - Solar,,1,,4.2,,4.2,4.2,, Publicly Announced ,TBA,,,,Proposed, Solar ,2747,,,4/06/2024
 QLD1 ,Existing Plant,Darling Downs,Origin Energy Power Limited, Turbine - CCGT ,Fossil - Coal Seam Methane,DDPS1,3,,121.5,,364.5,364.5,, In Service ,S,,2045,,Existing less Announced Withdrawal, CCGT ,1066,,Feb-24,5/06/2024
 QLD1 ,Existing Plant,Darling Downs,Origin Energy Power Limited, Turbine - CCGT ,Fossil - Coal Seam Methane,DDPS1,1,,280,,280,280,, In Service ,S,,2045,,Existing less Announced Withdrawal, CCGT ,1066,,Feb-24,5/06/2024
 QLD1 ,Project,Darling Downs Battery,BORAL, Storage - Battery ,Other - Other,,1,,250,,250,250,500, Publicly Announced ,S,Dec-26,,,Proposed, Battery Storage ,1883,Q00031,May-23,18/03/2024
 QLD1 ,Project,Darling Downs Battery,BORAL, Storage - Battery ,Other - Other,,1,,250,,250,250,1500, Publicly Announced ,S,,,,Proposed, Battery Storage ,1883,Q00031,May-23,18/03/2024
